[2026-08-29] Liverpool 2.0x2.0 Nott'm Forest | Score: 91.7 | Resultado: GREEN (Odd: 1.62)
[2026-08-29] Middlesbrough 3.0x1.0 West Brom | Score: 92.7 | Resultado: GREEN (Odd: 1.88)
[2026-08-29] Barnet 2.0x2.0 Cheltenham | Score: 92.7 | Resultado: GREEN (Odd: 1.85)
[2026-08-29] Port Vale 0.0x0.0 Crewe | Score: 91.7 | Resultado: RED (Odd: 1.85)
[2026-08-29] Elversberg 3.0x2.0 Leverkusen | Score: 92.7 | Resultado: GREEN (Odd: 1.5)
[2026-08-29] FC Koln 3.0x2.0 Hoffenheim | Score: 92.7 | Resultado: GREEN (Odd: 1.53)
[2026-08-29] RAAL La Louviere 2.0x2.0 Mechelen | Score: 90.7 | Resultado: GREEN (Odd: 2.1)
[2026-08-29] Bournemouth 1.0x1.0 Everton | Score: 90.7 | Resultado: RED (Odd: 1.91)
[2026-08-29] Blackburn 1.0x2.0 QPR | Score: 91.7 | Resultado: GREEN (Odd: 2.0)
[2026-08-29] Bolton 0.0x1.0 Lincoln | Score: 91.7 | Resultado: RED (Odd: 2.05)
[2026-08-29] Norwich 4.0x1.0 Burnley | Score: 92.7 | Resultado: GREEN (Odd: 1.8)
[2026-08-29] Southampton 5.0x1.0 Millwall | Score: 90.7 | Resultado: GREEN (Odd: 1.83)
[2026-08-29] Cambridge 1.0x2.0 Huddersfield | Score: 93.0 | Resultado: GREEN (Odd: 1.8)
[2026-08-29] Leyton Orient 1.0x3.0 Barnsley | Score: 91.4 | Resultado: GREEN (Odd: 1.75)
[2026-08-29] Stevenage 2.0x2.0 Doncaster | Score: 93.3 | Resultado: GREEN (Odd: 2.1)
[2026-08-29] Stockport 5.0x1.0 Wycombe | Score: 90.7 | Resultado: GREEN (Odd: 1.85)
[2026-08-29] Colchester 1.0x0.0 Rochdale | Score: 93.3 | Resultado: RED (Odd: 2.0)
[2026-08-29] Grimsby 2.0x2.0 Fleetwood Town | Score: 93.3 | Resultado: GREEN (Odd: 1.95)
[2026-08-29] Newport County 2.0x2.0 Tranmere | Score: 93.3 | Resultado: GREEN (Odd: 2.15)
[2026-08-29] Walsall 3.0x2.0 Accrington | Score: 92.3 | Resultado: GREEN (Odd: 2.05)
[2026-08-29] Hearts 2.0x1.0 St Johnstone | Score: 91.3 | Resultado: GREEN (Odd: 1.73)
[2026-08-29] Hamilton 1.0x0.0 Cove Rangers | Score: 91.0 | Resultado: RED (Odd: 1.7)
[2026-08-29] Montrose 2.0x1.0 Queen of Sth | Score: 92.3 | Resultado: GREEN (Odd: 1.67)
[2026-08-29] Elgin 4.0x0.0 Stirling | Score: 92.5 | Resultado: GREEN (Odd: 1.67)
[2026-08-29] Stranraer 2.0x0.0 Kelty Hearts | Score: 93.0 | Resultado: RED (Odd: 1.8)
[2026-08-29] Excelsior 2.0x1.0 Sparta Rotterdam | Score: 91.0 | Resultado: GREEN (Odd: 1.53)
[2026-08-29] Arouca 2.0x1.0 Maritimo | Score: 91.3 | Resultado: GREEN (Odd: 2.08)
[2026-08-29] Kortrijk 1.0x3.0 Charleroi | Score: 93.1 | Resultado: GREEN (Odd: 1.8)
[2026-08-29] Dortmund 2.0x0.0 Hamburg | Score: 92.5 | Resultado: RED (Odd: 1.5)
[2026-08-29] Tottenham 0.0x2.0 Newcastle | Score: 91.7 | Resultado: RED (Odd: 1.62)
[2026-08-29] Fiorentina 0.0x3.0 Frosinone | Score: 92.7 | Resultado: GREEN (Odd: 1.8)
[2026-08-29] Monza 2.0x3.0 Udinese | Score: 93.1 | Resultado: GREEN (Odd: 2.2)
[2026-08-29] Sassuolo 2.0x1.0 Torino | Score: 91.3 | Resultado: GREEN (Odd: 2.03)
[2026-08-29] Sampdoria 1.0x2.0 Juve Stabia | Score: 92.3 | Resultado: GREEN (Odd: 2.35)
[2026-08-29] Albacete 0.0x1.0 Oviedo | Score: 91.0 | Resultado: RED (Odd: 2.4)
[2026-08-29] Leganes 1.0x0.0 Eldense | Score: 92.7 | Resultado: RED (Odd: 2.05)
[2026-08-29] Nurnberg 4.0x1.0 Bielefeld | Score: 92.3 | Resultado: GREEN (Odd: 1.67)
[2026-08-29] Panetolikos 2.0x0.0 Kalamata | Score: 91.7 | Resultado: RED (Odd: 2.4)
[2026-08-29] Gaziantep 1.0x2.0 Rizespor | Score: 93.0 | Resultado: GREEN (Odd: 1.8)
[2026-08-29] Brest 2.0x2.0 Toulouse | Score: 91.0 | Resultado: GREEN (Odd: 2.0)
[2026-08-29] Lorient 1.0x2.0 Troyes | Score: 91.7 | Resultado: GREEN (Odd: 2.05)
[2026-08-29] Lyon 1.0x1.0 Le Havre | Score: 93.3 | Resultado: RED (Odd: 1.73)
[2026-08-29] Juventus 2.0x0.0 Parma | Score: 92.5 | Resultado: RED (Odd: 1.67)
[2026-08-29] Ascoli 1.0x1.0 Carrarese | Score: 92.7 | Resultado: RED (Odd: 2.35)
[2026-08-29] Sevilla 1.0x3.0 Ath Madrid | Score: 93.1 | Resultado: GREEN (Odd: 1.98)
[2026-08-30] Aberdeen 0.0x1.0 Rangers | Score: 91.0 | Resultado: RED (Odd: 1.67)
[2026-08-30] Darmstadt 0.0x1.0 Hannover | Score: 91.4 | Resultado: RED (Odd: 1.53)
[2026-08-30] St Pauli 1.0x2.0 Kaiserslautern | Score: 91.3 | Resultado: GREEN (Odd: 1.65)
[2026-08-30] Willem II 2.0x2.0 Heerenveen | Score: 93.1 | Resultado: GREEN (Odd: 1.44)
[2026-08-30] Chelsea 4.0x3.0 Brighton | Score: 91.2 | Resultado: GREEN (Odd: 1.62)
[2026-08-30] Leeds 1.0x1.0 Brentford | Score: 91.0 | Resultado: RED (Odd: 1.9)
[2026-08-30] AFC Wimbledon 1.0x0.0 Wigan | Score: 91.0 | Resultado: RED (Odd: 2.08)
[2026-08-30] Paris FC 3.0x0.0 Nice | Score: 93.0 | Resultado: GREEN (Odd: 2.1)
[2026-08-30] Freiburg 4.0x1.0 Werder Bremen | Score: 92.7 | Resultado: GREEN (Odd: 1.73)
[2026-08-30] Mansfield 5.0x2.0 Luton | Score: 92.7 | Resultado: GREEN (Odd: 1.65)
[2026-08-30] Dundee 1.0x2.0 Hibernian | Score: 91.4 | Resultado: GREEN (Odd: 1.91)
[2026-08-30] Nacional 2.0x3.0 Estrela | Score: 93.3 | Resultado: GREEN (Odd: 2.0)
[2026-08-30] St. Gilloise 3.0x0.0 Anderlecht | Score: 91.0 | Resultado: GREEN (Odd: 1.75)
[2026-08-30] Napoli 1.0x2.0 Como | Score: 91.7 | Resultado: GREEN (Odd: 2.3)
[2026-08-30] Arezzo 2.0x3.0 Palermo | Score: 90.7 | Resultado: GREEN (Odd: 2.35)
[2026-08-30] Casa Pia 0.0x1.0 Moreirense | Score: 91.0 | Resultado: RED (Odd: 2.4)
[2026-08-30] Cadiz 1.0x1.0 Valladolid | Score: 91.7 | Resultado: RED (Odd: 2.4)
[2026-08-30] Westerlo 2.0x2.0 Waregem | Score: 90.7 | Resultado: GREEN (Odd: 1.53)
[2026-08-30] Atromitos 1.0x2.0 PAOK | Score: 91.7 | Resultado: GREEN (Odd: 1.83)
[2026-08-30] La Coruna 3.0x1.0 Valencia | Score: 93.0 | Resultado: GREEN (Odd: 2.38)
[2026-08-30] Asteras Tripolis 0.0x1.0 Olympiakos | Score: 91.4 | Resultado: RED (Odd: 1.9)
[2026-08-30] Kifisia 1.0x1.0 AEK | Score: 92.7 | Resultado: RED (Odd: 1.7)
[2026-08-30] Monaco 2.0x0.0 Marseille | Score: 91.0 | Resultado: RED (Odd: 1.57)
[2026-08-30] Benevento 1.0x1.0 Sudtirol | Score: 91.0 | Resultado: RED (Odd: 2.35)
[2026-08-30] Celta 0.0x2.0 Ath Bilbao | Score: 91.0 | Resultado: RED (Odd: 2.1)
[2026-08-30] Cordoba 1.0x3.0 Granada | Score: 92.7 | Resultado: GREEN (Odd: 1.9)
